,support,itemsets
52,0.14903830869496107,frozenset({'Water Bottle - 30 oz.'})
0,0.10751867747575902,frozenset({'AWC Logo Cap'})
26,0.10662851692894611,frozenset({'Patch Kit/8 Patches'})
19,0.09839453187092673,frozenset({'Mountain Tire Tube'})
48,0.09823557463042441,"frozenset({'Sport-100 Helmet, Blue'})"
49,0.09801303449372119,"frozenset({'Sport-100 Helmet, Red'})"
47,0.09559688443808616,"frozenset({'Sport-100 Helmet, Black'})"
28,0.07553648068669527,frozenset({'Road Tire Tube'})
3,0.06742966142107773,frozenset({'Fender Set - Mountain'})
18,0.06437768240343347,frozenset({'Mountain Bottle Cage'})
27,0.054426959147989194,frozenset({'Road Bottle Cage'})
73,0.053791130185979974,"frozenset({'Mountain Bottle Cage', 'Water Bottle - 30 oz.'})"
13,0.051979017644253694,"frozenset({'Long-Sleeve Logo Jersey, L'})"
75,0.04835479256080114,"frozenset({'Road Bottle Cage', 'Water Bottle - 30 oz.'})"
51,0.047305674773485934,frozenset({'Touring Tire Tube'})
4,0.04438086154824352,frozenset({'HL Mountain Tire'})
1,0.042187251629311716,frozenset({'Bike Wash - Dissolver'})
20,0.03980289302177714,"frozenset({'Mountain-200 Black, 38'})"
14,0.03872198378636147,"frozenset({'Long-Sleeve Logo Jersey, M'})"
21,0.03741853441424257,"frozenset({'Mountain-200 Black, 42'})"
56,0.03725957717374027,"frozenset({'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L'})"
16,0.03690987124463519,frozenset({'ML Mountain Tire'})
23,0.034779844221904305,"frozenset({'Mountain-200 Silver, 38'})"
7,0.03452551263710062,"frozenset({'Half-Finger Gloves, M'})"
15,0.03420759815609601,"frozenset({'Long-Sleeve Logo Jersey, XL'})"
10,0.03414401525989509,frozenset({'Hydration Pack - 70 oz.'})
22,0.03366714353838817,"frozenset({'Mountain-200 Black, 46'})"
25,0.03350818629788587,"frozenset({'Mountain-200 Silver, 46'})"
12,0.03319027181688126,frozenset({'LL Road Tire'})
24,0.03306310602447941,"frozenset({'Mountain-200 Silver, 42'})"
62,0.03239548561436974,"frozenset({'AWC Logo Cap', 'Water Bottle - 30 oz.'})"
60,0.03214115402956605,"frozenset({'Sport-100 Helmet, Blue', 'AWC Logo Cap'})"
59,0.03140995072325545,"frozenset({'Sport-100 Helmet, Black', 'AWC Logo Cap'})"
