,support,itemsets
29,0.14903830869496107,frozenset({'Water Bottle - 30 oz.'})
0,0.10751867747575902,frozenset({'AWC Logo Cap'})
42,0.10662851692894611,frozenset({'Patch Kit/8 Patches'})
47,0.09839453187092673,frozenset({'Mountain Tire Tube'})
1,0.09823557463042441,"frozenset({'Sport-100 Helmet, Blue'})"
11,0.09801303449372119,"frozenset({'Sport-100 Helmet, Red'})"
5,0.09559688443808616,"frozenset({'Sport-100 Helmet, Black'})"
45,0.07553648068669527,frozenset({'Road Tire Tube'})
53,0.06742966142107773,frozenset({'Fender Set - Mountain'})
44,0.06437768240343347,frozenset({'Mountain Bottle Cage'})
43,0.054426959147989194,frozenset({'Road Bottle Cage'})
113,0.053791130185979974,"frozenset({'Mountain Bottle Cage', 'Water Bottle - 30 oz.'})"
6,0.051979017644253694,"frozenset({'Long-Sleeve Logo Jersey, L'})"
112,0.04835479256080114,"frozenset({'Road Bottle Cage', 'Water Bottle - 30 oz.'})"
49,0.047305674773485934,frozenset({'Touring Tire Tube'})
48,0.04438086154824352,frozenset({'HL Mountain Tire'})
30,0.042187251629311716,frozenset({'Bike Wash - Dissolver'})
13,0.03980289302177714,"frozenset({'Mountain-200 Black, 38'})"
2,0.03872198378636147,"frozenset({'Long-Sleeve Logo Jersey, M'})"
14,0.03741853441424257,"frozenset({'Mountain-200 Black, 42'})"
93,0.03725957717374027,"frozenset({'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L'})"
54,0.03690987124463519,frozenset({'ML Mountain Tire'})
15,0.034779844221904305,"frozenset({'Mountain-200 Silver, 38'})"
16,0.03452551263710062,"frozenset({'Half-Finger Gloves, M'})"
3,0.03420759815609601,"frozenset({'Long-Sleeve Logo Jersey, XL'})"
31,0.03414401525989509,frozenset({'Hydration Pack - 70 oz.'})
26,0.03366714353838817,"frozenset({'Mountain-200 Black, 46'})"
17,0.03350818629788587,"frozenset({'Mountain-200 Silver, 46'})"
51,0.03319027181688126,frozenset({'LL Road Tire'})
18,0.03306310602447941,"frozenset({'Mountain-200 Silver, 42'})"
56,0.03239548561436974,"frozenset({'AWC Logo Cap', 'Water Bottle - 30 oz.'})"
57,0.03214115402956605,"frozenset({'Sport-100 Helmet, Blue', 'AWC Logo Cap'})"
85,0.03140995072325545,"frozenset({'Sport-100 Helmet, Black', 'AWC Logo Cap'})"
115,0.030424415832141154,"frozenset({'HL Mountain Tire', 'Mountain Tire Tube'})"
108,0.030360832935940232,"frozenset({'Sport-100 Helmet, Red', 'AWC Logo Cap'})"
50,0.029725003973931012,frozenset({'Touring Tire'})
52,0.029438880941026865,frozenset({'ML Road Tire'})
94,0.02877126053091718,"frozenset({'Sport-100 Helmet, Blue', 'Long-Sleeve Logo Jersey, L'})"
32,0.028739469082816722,"frozenset({'Short-Sleeve Classic Jersey, XL'})"
27,0.028071848672707043,"frozenset({'Half-Finger Gloves, S'})"
95,0.027976474328405658,"frozenset({'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, L'})"
55,0.02740422826259736,frozenset({'LL Mountain Tire'})
