,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
373,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black', 'AWC Logo Cap'})","frozenset({'Long-Sleeve Logo Jersey, L'})",0.023334922905738357,0.051979017644253694,0.02276267683993006,0.9754768392370572,18.766742494312926,0.021549750470485386,38.658188947173166,0.9693335714346765
177,"frozenset({'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})","frozenset({'Sport-100 Helmet, Black'})",0.020728024161500557,0.09559688443808616,0.02021936099189318,0.9754601226993864,10.203890309115131,0.018237826461496354,36.85442695914787,0.9210905496626258
370,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Red', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L'})","frozenset({'Sport-100 Helmet, Black'})",0.023366714353838816,0.09559688443808616,0.02276267683993006,0.9741496598639456,10.190182092125177,0.02052889174814836,34.98612052305307,0.9234441831791201
176,"frozenset({'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})",frozenset({'AWC Logo Cap'}),0.020759815609601016,0.10751867747575902,0.02021936099189318,0.9739663093415009,9.058577841613515,0.01798729307290826,34.28178256519597,0.9084670030819694
302,"frozenset({'Sport-100 Helmet, Blue', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})","frozenset({'Sport-100 Helmet, Black'})",0.020696232713400094,0.09559688443808616,0.02015577809569226,0.9738863287250384,10.187427492532784,0.01817728272868561,34.63331930769452,0.9208989307382341
230,"frozenset({'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black', 'AWC Logo Cap'})","frozenset({'Long-Sleeve Logo Jersey, L'})",0.02406612621204896,0.051979017644253694,0.023430297250039738,0.9735799207397622,18.730248566892488,0.02217936365103481,35.88259418216495,0.9699534476587384
244,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Red', 'AWC Logo Cap'})","frozenset({'Long-Sleeve Logo Jersey, L'})",0.024002543315848036,0.051979017644253694,0.023366714353838816,0.9735099337748344,18.72890212042044,0.02211908573131739,35.78779208392939,0.9698863258658513
301,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, M'})","frozenset({'Long-Sleeve Logo Jersey, L'})",0.020728024161500557,0.051979017644253694,0.02015577809569226,0.9723926380368098,18.707406990487982,0.019078355762071106,34.33942669421918,0.9665805422082387
316,"frozenset({'Sport-100 Helmet, Red', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})","frozenset({'Sport-100 Helmet, Black'})",0.020696232713400094,0.09559688443808616,0.020123986647591796,0.9723502304147466,10.171358994910493,0.01814549128058515,32.70924601282256,0.9207405820995734
287,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Red', 'AWC Logo Cap'})","frozenset({'Sport-100 Helmet, Black'})",0.024002543315848036,0.09559688443808616,0.023334922905738357,0.9721854304635762,10.169635089867572,0.021040354546153075,32.51544534520218,0.9238426275195485
116,"frozenset({'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})","frozenset({'Sport-100 Helmet, Black'})",0.021363853123509777,0.09559688443808616,0.020759815609601016,0.9717261904761904,10.164831167751435,0.018717497811400606,31.987310192505447,0.9213041903411318
374,"frozenset({'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L'})","frozenset({'Sport-100 Helmet, Blue'})",0.023430297250039738,0.09823557463042441,0.02276267683993006,0.9715061058344641,9.889554873470248,0.02046098812581075,31.647637214160838,0.9204496226440487
216,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Black', 'AWC Logo Cap'})","frozenset({'Long-Sleeve Logo Jersey, L'})",0.025560324272770624,0.051979017644253694,0.024829120966460023,0.9713930348258707,18.68817609201698,0.023500520420092832,33.13951607887049,0.971317418422285
345,"frozenset({'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, L'})","frozenset({'Sport-100 Helmet, Blue'})",0.024256874900651725,0.09823557463042441,0.023557463042441582,0.9711664482306683,9.886097290969474,0.02117457499783774,31.274829843499283,0.9211931157732224
303,"frozenset({'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})","frozenset({'Sport-100 Helmet, Blue'})",0.020759815609601016,0.09823557463042441,0.02015577809569226,0.9709035222052068,9.883420806137469,0.01811642568006145,30.99221946138602,0.9178753807006266
56,"frozenset({'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})",frozenset({'AWC Logo Cap'}),0.021363853123509777,0.10751867747575902,0.020728024161500557,0.9702380952380952,9.02390280476472,0.01843101092787442,29.98737243681449,0.9085942782935924
289,"frozenset({'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black', 'AWC Logo Cap'})","frozenset({'Sport-100 Helmet, Blue'})",0.02406612621204896,0.09823557463042441,0.023334922905738357,0.9696169088507266,9.870323581844533,0.020970773168169407,29.679811739337815,0.9208474293739325
315,"frozenset({'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, M'})","frozenset({'Long-Sleeve Logo Jersey, L'})",0.020759815609601016,0.051979017644253694,0.020123986647591796,0.9693721286370597,18.649296823412058,0.019044911825728893,30.952885073915073,0.9664418294989771
317,"frozenset({'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})","frozenset({'Sport-100 Helmet, Red'})",0.020759815609601016,0.09801303449372119,0.020123986647591796,0.9693721286370597,9.890236881699225,0.01808925412416468,29.44987442377996,0.9179465890943049
